Company,Day,Stock Exchange,Total Messages,Negative Messages,Neutral Messages,Positive Messages
Twitter Inc,2018-02-08,GERMAN STOCK EXCHANGE,9856,1359,1868,6629
Apple Inc,2018-02-05,GERMAN STOCK EXCHANGE,6806,1626,2647,2533
Alphabet Inc,2018-02-02,GERMAN STOCK EXCHANGE,6289,1870,2561,1858
Apple Inc,2018-02-06,GERMAN STOCK EXCHANGE,6122,1207,2715,2200
AT&T Inc,2018-02-04,GERMAN STOCK EXCHANGE,5737,362,997,4378
Alphabet Inc,2018-02-08,GERMAN STOCK EXCHANGE,5536,2039,1864,1633
Apple Inc,2018-02-07,GERMAN STOCK EXCHANGE,5017,744,2457,1816
Qualcomm Inc,2018-02-05,GERMAN STOCK EXCHANGE,4768,650,2333,1785
Alphabet Inc,2018-02-06,GERMAN STOCK EXCHANGE,4588,1463,2061,1064
Sony Corp,2018-02-02,GERMAN STOCK EXCHANGE,4549,219,2692,1638
Alphabet Inc,2018-02-07,GERMAN STOCK EXCHANGE,4440,1044,2244,1152
Wells Fargo & Co,2018-02-05,GERMAN STOCK EXCHANGE,4263,1879,1417,967
Samsung Electronics,2018-02-05,GERMAN STOCK EXCHANGE,4245,2177,1063,1005
Alphabet Inc,2018-02-05,GERMAN STOCK EXCHANGE,4074,1846,1364,864
Facebook Inc,2018-02-06,GERMAN STOCK EXCHANGE,3266,1308,896,1062
Facebook Inc,2018-02-05,GERMAN STOCK EXCHANGE,3264,1928,771,565
Apple Inc,2018-02-08,GERMAN STOCK EXCHANGE,3133,775,1217,1141
Deutsche Bank AG,2018-02-02,GERMAN STOCK EXCHANGE,3096,1974,491,631
Microsoft Corp,2018-02-07,GERMAN STOCK EXCHANGE,3082,413,1555,1114
Microsoft Corp,2018-02-06,GERMAN STOCK EXCHANGE,3011,308,1791,912
Twitter Inc,2018-02-03,GERMAN STOCK EXCHANGE,2751,2022,315,414
Apple Inc,2018-02-03,GERMAN STOCK EXCHANGE,2702,577,1053,1072
Apple Inc,2018-02-04,GERMAN STOCK EXCHANGE,2684,481,1345,858
Snap Inc,2018-02-07,GERMAN STOCK EXCHANGE,2681,445,456,1780
Microsoft Corp,2018-02-08,GERMAN STOCK EXCHANGE,2680,293,1436,951
Intel Corp,2018-02-05,GERMAN STOCK EXCHANGE,2618,133,1869,616
Microsoft Corp,2018-02-02,GERMAN STOCK EXCHANGE,2472,273,1290,909
Facebook Inc,2018-02-02,GERMAN STOCK EXCHANGE,2446,436,887,1123
Twitter Inc,2018-02-04,GERMAN STOCK EXCHANGE,2400,1655,482,263
Credit Suisse Group AG,2018-02-06,GERMAN STOCK EXCHANGE,2384,781,1222,381
Microsoft Corp,2018-02-05,GERMAN STOCK EXCHANGE,2384,242,1496,646
Samsung Electronics,2018-02-08,GERMAN STOCK EXCHANGE,2349,1271,509,569
Facebook Inc,2018-02-07,GERMAN STOCK EXCHANGE,2246,717,700,829
Snap Inc,2018-02-06,GERMAN STOCK EXCHANGE,2106,267,502,1337
Facebook Inc,2018-02-08,GERMAN STOCK EXCHANGE,2104,549,839,716
Microsoft Corp,2018-02-03,GERMAN STOCK EXCHANGE,2062,231,1155,676
Alphabet Inc,2018-02-04,GERMAN STOCK EXCHANGE,2047,1031,612,404
Cisco Systems Inc,2018-02-05,GERMAN STOCK EXCHANGE,1981,693,784,504
Intel Corp,2018-02-04,GERMAN STOCK EXCHANGE,1939,158,1548,233
Wells Fargo & Co,2018-02-02,GERMAN STOCK EXCHANGE,1911,792,276,843
Wells Fargo & Co,2018-02-04,GERMAN STOCK EXCHANGE,1872,986,288,598
Facebook Inc,2018-02-04,GERMAN STOCK EXCHANGE,1865,893,479,493
Goldman Sachs,2018-02-07,GERMAN STOCK EXCHANGE,1764,179,1036,549
Samsung Electronics,2018-02-02,GERMAN STOCK EXCHANGE,1741,136,962,643
Qualcomm Inc,2018-02-08,GERMAN STOCK EXCHANGE,1738,841,532,365
Twitter Inc,2018-02-06,GERMAN STOCK EXCHANGE,1726,422,707,597
Nvidia Corp,2018-02-08,GERMAN STOCK EXCHANGE,1679,326,724,629
SoftBank Group Corp,2018-02-07,GERMAN STOCK EXCHANGE,1647,44,853,750
Alphabet Inc,2018-02-03,GERMAN STOCK EXCHANGE,1594,332,786,476
Intel Corp,2018-02-02,GERMAN STOCK EXCHANGE,1575,837,388,350
Lloyds Banking Group Plc,2018-02-05,GERMAN STOCK EXCHANGE,1566,980,326,260
Twitter Inc,2018-02-07,GERMAN STOCK EXCHANGE,1559,556,469,534
AT&T Inc,2018-02-03,GERMAN STOCK EXCHANGE,1541,807,647,87
Deutsche Bank AG,2018-02-04,GERMAN STOCK EXCHANGE,1522,159,1076,287
Samsung Electronics,2018-02-06,GERMAN STOCK EXCHANGE,1508,457,558,493
Microsoft Corp,2018-02-04,GERMAN STOCK EXCHANGE,1506,131,836,539
Gilead Sciences,2018-02-05,GERMAN STOCK EXCHANGE,1408,10,1369,29
Wells Fargo & Co,2018-02-06,GERMAN STOCK EXCHANGE,1394,524,430,440
Twitter Inc,2018-02-05,GERMAN STOCK EXCHANGE,1382,429,566,387
Royal Bank of Scotland,2018-02-06,GERMAN STOCK EXCHANGE,1366,550,332,484
Intel Corp,2018-02-03,GERMAN STOCK EXCHANGE,1222,414,170,638
Samsung Electronics,2018-02-07,GERMAN STOCK EXCHANGE,1208,339,522,347
Wells Fargo & Co,2018-02-07,GERMAN STOCK EXCHANGE,1184,518,309,357
Deutsche Bank AG,2018-02-05,GERMAN STOCK EXCHANGE,1177,267,766,144
Facebook Inc,2018-02-03,GERMAN STOCK EXCHANGE,1149,266,505,378
Twitter Inc,2018-02-02,GERMAN STOCK EXCHANGE,1131,316,384,431
Cisco Systems Inc,2018-02-06,GERMAN STOCK EXCHANGE,1124,282,448,394
BlackRock Inc,2018-02-08,GERMAN STOCK EXCHANGE,1119,31,579,509
Royal Bank of Scotland,2018-02-07,GERMAN STOCK EXCHANGE,1119,314,581,224
AT&T Inc,2018-02-05,GERMAN STOCK EXCHANGE,1063,162,267,634
IBM,2018-02-08,GERMAN STOCK EXCHANGE,1022,57,539,426
JPMorgan Chase & Co,2018-02-02,GERMAN STOCK EXCHANGE,1021,211,501,309
IBM,2018-02-07,GERMAN STOCK EXCHANGE,1013,96,486,431
JPMorgan Chase & Co,2018-02-03,GERMAN STOCK EXCHANGE,1007,415,374,218
IBM,2018-02-05,GERMAN STOCK EXCHANGE,975,50,331,594
Snap Inc,2018-02-08,GERMAN STOCK EXCHANGE,968,52,331,585
Nvidia Corp,2018-02-05,GERMAN STOCK EXCHANGE,964,28,683,253
Bank of America Corp,2018-02-04,GERMAN STOCK EXCHANGE,929,373,472,84
AstraZeneca Plc,2018-02-02,GERMAN STOCK EXCHANGE,896,215,294,387
Samsung Electronics,2018-02-04,GERMAN STOCK EXCHANGE,884,102,649,133
Goldman Sachs,2018-02-08,GERMAN STOCK EXCHANGE,859,215,313,331
Qualcomm Inc,2018-02-06,GERMAN STOCK EXCHANGE,845,121,348,376
Bank of America Corp,2018-02-03,GERMAN STOCK EXCHANGE,844,412,328,104
Sanofi,2018-02-05,GERMAN STOCK EXCHANGE,840,489,252,99
JPMorgan Chase & Co,2018-02-05,GERMAN STOCK EXCHANGE,822,208,311,303
AT&T Inc,2018-02-02,GERMAN STOCK EXCHANGE,821,101,450,270
JPMorgan Chase & Co,2018-02-06,GERMAN STOCK EXCHANGE,818,170,369,279
JPMorgan Chase & Co,2018-02-07,GERMAN STOCK EXCHANGE,807,147,239,421
Bank of America Corp,2018-02-02,GERMAN STOCK EXCHANGE,801,197,461,143
Teva Pharmaceutical,2018-02-08,GERMAN STOCK EXCHANGE,794,252,237,305
JPMorgan Chase & Co,2018-02-04,GERMAN STOCK EXCHANGE,792,330,191,271
Samsung Electronics,2018-02-03,GERMAN STOCK EXCHANGE,769,44,573,152
PayPal,2018-02-02,GERMAN STOCK EXCHANGE,767,223,350,194
IBM,2018-02-06,GERMAN STOCK EXCHANGE,762,101,300,361
Gilead Sciences,2018-02-06,GERMAN STOCK EXCHANGE,758,51,504,203
Sony Corp,2018-02-03,GERMAN STOCK EXCHANGE,746,113,423,210
Intel Corp,2018-02-06,GERMAN STOCK EXCHANGE,734,165,361,208
Pfizer Inc,2018-02-03,GERMAN STOCK EXCHANGE,727,342,319,66
Vodafone Group Plc,2018-02-02,GERMAN STOCK EXCHANGE,725,53,183,489
SoftBank Group Corp,2018-02-08,GERMAN STOCK EXCHANGE,721,85,331,305
Gilead Sciences,2018-02-07,GERMAN STOCK EXCHANGE,698,70,352,276
Cisco Systems Inc,2018-02-07,GERMAN STOCK EXCHANGE,696,133,310,253
Sanofi,2018-02-07,GERMAN STOCK EXCHANGE,693,171,315,207
Salesforce.com Inc,2018-02-08,GERMAN STOCK EXCHANGE,676,11,220,445
AT&T Inc,2018-02-07,GERMAN STOCK EXCHANGE,673,40,352,281
AT&T Inc,2018-02-08,GERMAN STOCK EXCHANGE,671,173,344,154
Nvidia Corp,2018-02-06,GERMAN STOCK EXCHANGE,662,79,335,248
GlaxoSmithKline Plc,2018-02-07,GERMAN STOCK EXCHANGE,659,176,187,296
Pfizer Inc,2018-02-04,GERMAN STOCK EXCHANGE,658,533,80,45
Morgan Stanley,2018-02-05,GERMAN STOCK EXCHANGE,628,208,137,283
Qualcomm Inc,2018-02-04,GERMAN STOCK EXCHANGE,624,41,196,387
GlaxoSmithKline Plc,2018-02-08,GERMAN STOCK EXCHANGE,623,185,162,276
Wells Fargo & Co,2018-02-08,GERMAN STOCK EXCHANGE,618,118,322,178
Nintendo Co Ltd,2018-02-02,GERMAN STOCK EXCHANGE,610,87,344,179
BlackRock Inc,2018-02-06,GERMAN STOCK EXCHANGE,608,209,180,219
Gilead Sciences,2018-02-08,GERMAN STOCK EXCHANGE,601,98,267,236
Intel Corp,2018-02-08,GERMAN STOCK EXCHANGE,600,104,342,154
Cisco Systems Inc,2018-02-08,GERMAN STOCK EXCHANGE,593,107,292,194
Cisco Systems Inc,2018-02-02,GERMAN STOCK EXCHANGE,591,34,322,235
Pfizer Inc,2018-02-05,GERMAN STOCK EXCHANGE,578,359,130,89
Goldman Sachs,2018-02-06,GERMAN STOCK EXCHANGE,576,154,229,193
Goldman Sachs,2018-02-02,GERMAN STOCK EXCHANGE,565,92,299,174
IBM,2018-02-02,GERMAN STOCK EXCHANGE,564,103,173,288
JPMorgan Chase & Co,2018-02-08,GERMAN STOCK EXCHANGE,560,81,310,169
Intel Corp,2018-02-07,GERMAN STOCK EXCHANGE,542,127,191,224
Deutsche Bank AG,2018-02-07,GERMAN STOCK EXCHANGE,539,270,186,83
Pfizer Inc,2018-02-06,GERMAN STOCK EXCHANGE,531,275,152,104
Verizon Communications,2018-02-06,GERMAN STOCK EXCHANGE,519,129,77,313
Yahoo! Inc,2018-02-08,GERMAN STOCK EXCHANGE,518,120,109,289
Bank of America Corp,2018-02-05,GERMAN STOCK EXCHANGE,514,191,269,54
Credit Suisse Group AG,2018-02-08,GERMAN STOCK EXCHANGE,513,279,185,49
AT&T Inc,2018-02-06,GERMAN STOCK EXCHANGE,497,75,141,281
Activision Blizzard,2018-02-08,GERMAN STOCK EXCHANGE,492,28,307,157
Goldman Sachs,2018-02-03,GERMAN STOCK EXCHANGE,490,123,299,68
Credit Suisse Group AG,2018-02-07,GERMAN STOCK EXCHANGE,469,156,197,116
Nintendo Co Ltd,2018-02-08,GERMAN STOCK EXCHANGE,443,38,134,271
Pfizer Inc,2018-02-08,GERMAN STOCK EXCHANGE,441,286,71,84
Sony Corp,2018-02-04,GERMAN STOCK EXCHANGE,438,129,180,129
Goldman Sachs,2018-02-05,GERMAN STOCK EXCHANGE,435,107,183,145
Pfizer Inc,2018-02-07,GERMAN STOCK EXCHANGE,431,241,93,97
Tencent Holdings Ltd,2018-02-08,GERMAN STOCK EXCHANGE,415,123,172,120
Nintendo Co Ltd,2018-02-03,GERMAN STOCK EXCHANGE,414,43,226,145
Morgan Stanley,2018-02-06,GERMAN STOCK EXCHANGE,413,58,233,122
Nvidia Corp,2018-02-02,GERMAN STOCK EXCHANGE,413,27,219,167
Johnson & Johnson,2018-02-08,GERMAN STOCK EXCHANGE,411,235,73,103
Sony Corp,2018-02-05,GERMAN STOCK EXCHANGE,407,70,178,159
Verizon Communications,2018-02-05,GERMAN STOCK EXCHANGE,406,71,94,241
Royal Bank of Scotland,2018-02-04,GERMAN STOCK EXCHANGE,401,192,146,63
Deutsche Bank AG,2018-02-08,GERMAN STOCK EXCHANGE,400,156,163,81
HSBC Holdings Plc,2018-02-02,GERMAN STOCK EXCHANGE,397,270,70,57
Bank of America Corp,2018-02-07,GERMAN STOCK EXCHANGE,396,109,207,80
Nokia Oyj,2018-02-02,GERMAN STOCK EXCHANGE,391,31,78,282
Nvidia Corp,2018-02-07,GERMAN STOCK EXCHANGE,391,36,164,191
Novartis AG,2018-02-08,GERMAN STOCK EXCHANGE,390,111,69,210
IBM,2018-02-03,GERMAN STOCK EXCHANGE,386,11,127,248
Bristol-Myers Squibb Co,2018-02-05,GERMAN STOCK EXCHANGE,382,64,111,207
Pfizer Inc,2018-02-02,GERMAN STOCK EXCHANGE,381,124,86,171
Sony Corp,2018-02-06,GERMAN STOCK EXCHANGE,379,35,199,145
Visa,2018-02-06,GERMAN STOCK EXCHANGE,375,84,182,109
BNP Paribas,2018-02-06,GERMAN STOCK EXCHANGE,374,25,188,161
Amgen Inc,2018-02-02,GERMAN STOCK EXCHANGE,372,42,173,157
Vodafone Group Plc,2018-02-05,GERMAN STOCK EXCHANGE,372,65,140,167
Nintendo Co Ltd,2018-02-06,GERMAN STOCK EXCHANGE,371,63,221,87
Yahoo! Inc,2018-02-02,GERMAN STOCK EXCHANGE,368,86,219,63
Nintendo Co Ltd,2018-02-04,GERMAN STOCK EXCHANGE,365,50,223,92
Verizon Communications,2018-02-07,GERMAN STOCK EXCHANGE,363,83,89,191
Nintendo Co Ltd,2018-02-05,GERMAN STOCK EXCHANGE,361,91,193,77
Qualcomm Inc,2018-02-07,GERMAN STOCK EXCHANGE,344,26,191,127
SAP SE,2018-02-07,GERMAN STOCK EXCHANGE,344,99,126,119
Bank of America Corp,2018-02-06,GERMAN STOCK EXCHANGE,338,100,161,77
ZTE Corp,2018-02-06,GERMAN STOCK EXCHANGE,336,5,4,327
Deutsche Bank AG,2018-02-03,GERMAN STOCK EXCHANGE,335,188,58,89
Morgan Stanley,2018-02-08,GERMAN STOCK EXCHANGE,333,159,101,73
Swisscom AG,2018-02-08,GERMAN STOCK EXCHANGE,331,298,23,10
Tencent Holdings Ltd,2018-02-02,GERMAN STOCK EXCHANGE,329,95,141,93
Verizon Communications,2018-02-08,GERMAN STOCK EXCHANGE,329,38,208,83
Novartis AG,2018-02-07,GERMAN STOCK EXCHANGE,324,183,49,92
Salesforce.com Inc,2018-02-05,GERMAN STOCK EXCHANGE,321,27,93,201
Novartis AG,2018-02-06,GERMAN STOCK EXCHANGE,319,172,61,86
Verizon Communications,2018-02-04,GERMAN STOCK EXCHANGE,315,242,40,33
iRobot Corporation,2018-02-08,GERMAN STOCK EXCHANGE,315,93,108,114
Allianz SE,2018-02-05,GERMAN STOCK EXCHANGE,314,171,75,68
HSBC Holdings Plc,2018-02-06,GERMAN STOCK EXCHANGE,314,92,152,70
PayPal,2018-02-07,GERMAN STOCK EXCHANGE,314,47,77,190
Societe Generale,2018-02-08,GERMAN STOCK EXCHANGE,314,19,145,150
Deutsche Bank AG,2018-02-06,GERMAN STOCK EXCHANGE,313,56,135,122
Swiss Re AG,2018-02-08,GERMAN STOCK EXCHANGE,313,36,154,123
First Solar Inc,2018-02-05,GERMAN STOCK EXCHANGE,312,0,74,238
Sony Corp,2018-02-08,GERMAN STOCK EXCHANGE,310,48,133,129
Nintendo Co Ltd,2018-02-07,GERMAN STOCK EXCHANGE,304,57,140,107
PayPal,2018-02-08,GERMAN STOCK EXCHANGE,303,32,61,210
Vodafone Group Plc,2018-02-06,GERMAN STOCK EXCHANGE,303,45,106,152
Barclays Plc,2018-02-08,GERMAN STOCK EXCHANGE,302,112,90,100
Morgan Stanley,2018-02-07,GERMAN STOCK EXCHANGE,302,47,137,118
Lloyds Banking Group Plc,2018-02-06,GERMAN STOCK EXCHANGE,300,169,104,27
Sanofi,2018-02-06,GERMAN STOCK EXCHANGE,299,114,133,52
Baidu Inc,2018-02-05,GERMAN STOCK EXCHANGE,296,7,240,49
Yahoo! Inc,2018-02-04,GERMAN STOCK EXCHANGE,295,29,82,184
SAP SE,2018-02-02,GERMAN STOCK EXCHANGE,290,31,129,130
Tencent Holdings Ltd,2018-02-05,GERMAN STOCK EXCHANGE,289,120,88,81
Royal Bank of Scotland,2018-02-08,GERMAN STOCK EXCHANGE,284,93,145,46
BlackRock Inc,2018-02-05,GERMAN STOCK EXCHANGE,283,17,127,139
IBM,2018-02-04,GERMAN STOCK EXCHANGE,283,13,112,158
HSBC Holdings Plc,2018-02-04,GERMAN STOCK EXCHANGE,279,160,70,49
Tencent Holdings Ltd,2018-02-06,GERMAN STOCK EXCHANGE,278,129,67,82
HSBC Holdings Plc,2018-02-03,GERMAN STOCK EXCHANGE,277,170,87,20
Sanofi,2018-02-08,GERMAN STOCK EXCHANGE,276,77,64,135
Goldman Sachs,2018-02-04,GERMAN STOCK EXCHANGE,275,53,136,86
BlackRock Inc,2018-02-02,GERMAN STOCK EXCHANGE,272,23,116,133
AIG,2018-02-08,GERMAN STOCK EXCHANGE,270,155,59,56
Johnson & Johnson,2018-02-07,GERMAN STOCK EXCHANGE,269,163,51,55
Roche Holding AG,2018-02-06,GERMAN STOCK EXCHANGE,268,38,61,169
Tencent Holdings Ltd,2018-02-07,GERMAN STOCK EXCHANGE,268,125,105,38
BlackRock Inc,2018-02-07,GERMAN STOCK EXCHANGE,267,50,138,79
Bank of America Corp,2018-02-08,GERMAN STOCK EXCHANGE,261,105,113,43
Array BioPharma,2018-02-06,GERMAN STOCK EXCHANGE,259,18,110,131
SunPower Corp,2018-02-05,GERMAN STOCK EXCHANGE,254,9,58,187
Qualcomm Inc,2018-02-02,GERMAN STOCK EXCHANGE,252,31,113,108
SAP SE,2018-02-08,GERMAN STOCK EXCHANGE,252,17,97,138
Teva Pharmaceutical,2018-02-06,GERMAN STOCK EXCHANGE,252,22,82,148
ZTE Corp,2018-02-02,GERMAN STOCK EXCHANGE,252,6,10,236
BT Group Plc,2018-02-02,GERMAN STOCK EXCHANGE,251,59,110,82
Sony Corp,2018-02-07,GERMAN STOCK EXCHANGE,248,22,140,86
Barclays Plc,2018-02-06,GERMAN STOCK EXCHANGE,246,40,92,114
Biogen Inc,2018-02-07,GERMAN STOCK EXCHANGE,246,128,35,83
Berkshire Hathaway Inc,2018-02-02,GERMAN STOCK EXCHANGE,244,26,116,102
HSBC Holdings Plc,2018-02-08,GERMAN STOCK EXCHANGE,242,188,24,30
LM Ericsson Telephone Co,2018-02-08,GERMAN STOCK EXCHANGE,241,13,120,108
Commonwealth Bank,2018-02-07,GERMAN STOCK EXCHANGE,238,76,61,101
Commerzbank AG,2018-02-08,GERMAN STOCK EXCHANGE,235,36,96,103
Citigroup,2018-02-04,GERMAN STOCK EXCHANGE,234,195,24,15
Visa,2018-02-05,GERMAN STOCK EXCHANGE,233,18,172,43
Vodafone Group Plc,2018-02-07,GERMAN STOCK EXCHANGE,233,16,112,105
PayPal,2018-02-05,GERMAN STOCK EXCHANGE,225,46,80,99
Nokia Oyj,2018-02-06,GERMAN STOCK EXCHANGE,220,23,60,137
Oracle Corp,2018-02-06,GERMAN STOCK EXCHANGE,220,13,111,96
Tableau Software Inc,2018-02-02,GERMAN STOCK EXCHANGE,217,5,132,80
PayPal,2018-02-03,GERMAN STOCK EXCHANGE,215,67,74,74
Vodafone Group Plc,2018-02-03,GERMAN STOCK EXCHANGE,215,26,67,122
Banco Santander SA,2018-02-03,GERMAN STOCK EXCHANGE,214,5,116,93
Oracle Corp,2018-02-08,GERMAN STOCK EXCHANGE,214,7,60,147
PayPal,2018-02-06,GERMAN STOCK EXCHANGE,214,38,62,114
Royal Bank of Scotland,2018-02-05,GERMAN STOCK EXCHANGE,213,95,98,20
HSBC Holdings Plc,2018-02-07,GERMAN STOCK EXCHANGE,212,108,68,36
Munich Re,2018-02-06,GERMAN STOCK EXCHANGE,212,31,43,138
Yahoo! Inc,2018-02-07,GERMAN STOCK EXCHANGE,212,77,95,40
Salesforce.com Inc,2018-02-07,GERMAN STOCK EXCHANGE,211,12,106,93
Sanofi,2018-02-02,GERMAN STOCK EXCHANGE,211,63,47,101
Alexion Pharmaceuticals,2018-02-08,GERMAN STOCK EXCHANGE,210,13,135,62
JA Solar Holdings Co Ltd,2018-02-02,GERMAN STOCK EXCHANGE,209,4,5,200
Cisco Systems Inc,2018-02-03,GERMAN STOCK EXCHANGE,207,15,60,132
Commonwealth Bank,2018-02-06,GERMAN STOCK EXCHANGE,203,62,40,101
HSBC Holdings Plc,2018-02-05,GERMAN STOCK EXCHANGE,203,118,57,28
Merck & Co,2018-02-02,GERMAN STOCK EXCHANGE,202,41,80,81
Salesforce.com Inc,2018-02-02,GERMAN STOCK EXCHANGE,201,3,88,110
GlaxoSmithKline Plc,2018-02-06,GERMAN STOCK EXCHANGE,200,15,93,92
Vodafone Group Plc,2018-02-08,GERMAN STOCK EXCHANGE,200,55,85,60
Allianz SE,2018-02-08,GERMAN STOCK EXCHANGE,199,67,47,85
GlaxoSmithKline Plc,2018-02-05,GERMAN STOCK EXCHANGE,199,15,149,35
Yahoo! Inc,2018-02-05,GERMAN STOCK EXCHANGE,199,59,87,53
SAP SE,2018-02-06,GERMAN STOCK EXCHANGE,196,17,84,95
Citigroup,2018-02-05,GERMAN STOCK EXCHANGE,195,80,41,74
Johnson & Johnson,2018-02-05,GERMAN STOCK EXCHANGE,194,68,20,106
Nokia Oyj,2018-02-05,GERMAN STOCK EXCHANGE,194,8,113,73
Morgan Stanley,2018-02-02,GERMAN STOCK EXCHANGE,193,72,39,82
SAP SE,2018-02-05,GERMAN STOCK EXCHANGE,193,9,107,77
Verizon Communications,2018-02-02,GERMAN STOCK EXCHANGE,193,23,74,96
Snap Inc,2018-02-05,GERMAN STOCK EXCHANGE,191,73,58,60
Oracle Corp,2018-02-02,GERMAN STOCK EXCHANGE,190,6,91,93
Swisscom AG,2018-02-07,GERMAN STOCK EXCHANGE,190,146,21,23
Oracle Corp,2018-02-05,GERMAN STOCK EXCHANGE,189,9,100,80
Citigroup,2018-02-08,GERMAN STOCK EXCHANGE,188,16,45,127
Amgen Inc,2018-02-06,GERMAN STOCK EXCHANGE,182,14,106,62
Barclays Plc,2018-02-02,GERMAN STOCK EXCHANGE,182,19,83,80
Credit Suisse Group AG,2018-02-05,GERMAN STOCK EXCHANGE,181,39,74,68
Yahoo! Inc,2018-02-06,GERMAN STOCK EXCHANGE,180,83,70,27
Celgene,2018-02-02,GERMAN STOCK EXCHANGE,177,8,28,141
GoPro,2018-02-02,GERMAN STOCK EXCHANGE,177,92,70,15
Credit Suisse Group AG,2018-02-02,GERMAN STOCK EXCHANGE,175,86,64,25
iRobot Corporation,2018-02-07,GERMAN STOCK EXCHANGE,174,29,63,82
Allianz SE,2018-02-06,GERMAN STOCK EXCHANGE,173,48,49,76
Teva Pharmaceutical,2018-02-05,GERMAN STOCK EXCHANGE,173,32,91,50
Berkshire Hathaway Inc,2018-02-06,GERMAN STOCK EXCHANGE,172,96,36,40
Oracle Corp,2018-02-07,GERMAN STOCK EXCHANGE,172,21,86,65
Amgen Inc,2018-02-07,GERMAN STOCK EXCHANGE,171,19,110,42
Citigroup,2018-02-07,GERMAN STOCK EXCHANGE,171,23,34,114
MasterCard Inc,2018-02-02,GERMAN STOCK EXCHANGE,171,25,56,90
Nvidia Corp,2018-02-03,GERMAN STOCK EXCHANGE,169,12,74,83
UniCredit SpA,2018-02-08,GERMAN STOCK EXCHANGE,168,20,42,106
Berkshire Hathaway Inc,2018-02-05,GERMAN STOCK EXCHANGE,167,46,49,72
Celgene,2018-02-06,GERMAN STOCK EXCHANGE,167,9,59,99
Visa,2018-02-02,GERMAN STOCK EXCHANGE,167,30,32,105
Barclays Plc,2018-02-03,GERMAN STOCK EXCHANGE,166,13,123,30
Teva Pharmaceutical,2018-02-02,GERMAN STOCK EXCHANGE,166,27,57,82
PayPal,2018-02-04,GERMAN STOCK EXCHANGE,165,50,51,64
Yahoo! Inc,2018-02-03,GERMAN STOCK EXCHANGE,165,46,77,42
Swiss Re AG,2018-02-07,GERMAN STOCK EXCHANGE,164,4,122,38
ZTE Corp,2018-02-08,GERMAN STOCK EXCHANGE,163,124,28,11
Advanced Micro Devices,2018-02-08,GERMAN STOCK EXCHANGE,161,32,20,109
Banco Santander SA,2018-02-02,GERMAN STOCK EXCHANGE,161,8,139,14
Zurich Insurance Group AG,2018-02-08,GERMAN STOCK EXCHANGE,159,34,43,82
Cisco Systems Inc,2018-02-04,GERMAN STOCK EXCHANGE,158,13,74,71
Novartis AG,2018-02-05,GERMAN STOCK EXCHANGE,156,94,26,36
Amgen Inc,2018-02-05,GERMAN STOCK EXCHANGE,155,14,56,85
Novo Nordisk A/S,2018-02-06,GERMAN STOCK EXCHANGE,154,68,48,38
UBS Group AG,2018-02-05,GERMAN STOCK EXCHANGE,154,23,20,111
American Express,2018-02-06,GERMAN STOCK EXCHANGE,152,10,46,96
Barclays Plc,2018-02-05,GERMAN STOCK EXCHANGE,152,32,68,52
Eli Lilly and Company,2018-02-06,GERMAN STOCK EXCHANGE,152,24,78,50
GoPro,2018-02-03,GERMAN STOCK EXCHANGE,150,144,4,2
Roche Holding AG,2018-02-05,GERMAN STOCK EXCHANGE,150,9,39,102
LinkedIn Corp,2018-02-08,GERMAN STOCK EXCHANGE,149,0,130,19
Verizon Communications,2018-02-03,GERMAN STOCK EXCHANGE,149,28,54,67
BlackRock Inc,2018-02-03,GERMAN STOCK EXCHANGE,148,9,79,60
Celgene,2018-02-05,GERMAN STOCK EXCHANGE,148,24,86,38
UBS Group AG,2018-02-06,GERMAN STOCK EXCHANGE,145,22,71,52
Nokia Oyj,2018-02-07,GERMAN STOCK EXCHANGE,143,3,59,81
Salesforce.com Inc,2018-02-06,GERMAN STOCK EXCHANGE,143,8,74,61
MasterCard Inc,2018-02-05,GERMAN STOCK EXCHANGE,142,20,54,68
Visa,2018-02-07,GERMAN STOCK EXCHANGE,142,43,51,48
Vodafone Group Plc,2018-02-04,GERMAN STOCK EXCHANGE,139,14,58,67
American Express,2018-02-08,GERMAN STOCK EXCHANGE,137,44,62,31
Citigroup,2018-02-03,GERMAN STOCK EXCHANGE,136,71,46,19
Johnson & Johnson,2018-02-06,GERMAN STOCK EXCHANGE,134,50,46,38
Citigroup,2018-02-06,GERMAN STOCK EXCHANGE,133,74,35,24
Electronic Arts Inc,2018-02-02,GERMAN STOCK EXCHANGE,130,21,64,45
Celgene,2018-02-08,GERMAN STOCK EXCHANGE,129,36,38,55
AbbVie Inc,2018-02-05,GERMAN STOCK EXCHANGE,127,16,29,82
Applied Materials Inc,2018-02-05,GERMAN STOCK EXCHANGE,127,7,26,94
Baidu Inc,2018-02-03,GERMAN STOCK EXCHANGE,125,8,14,103
Intesa Sanpaolo,2018-02-06,GERMAN STOCK EXCHANGE,125,27,32,66
AstraZeneca Plc,2018-02-05,GERMAN STOCK EXCHANGE,124,12,61,51
Barclays Plc,2018-02-07,GERMAN STOCK EXCHANGE,122,17,56,49
Commonwealth Bank,2018-02-02,GERMAN STOCK EXCHANGE,122,10,95,17
LM Ericsson Telephone Co,2018-02-05,GERMAN STOCK EXCHANGE,122,17,22,83
Morgan Stanley,2018-02-03,GERMAN STOCK EXCHANGE,122,19,73,30
